date,identifier,sector,index_membership,market_cap,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
31-01-00,1032941,Sector3,TRUE,20063.62551,0.253156425,1.257507106,1.732265035,-1.506117842,1.121610177,-0.819687503,-0.111325771,-0.931013274,TRUE,1,2
31-03-00,1032941,Sector3,TRUE,28024.64162,0.192361549,-1.642857784,8.662333767,-4.156130388,0.412014772,-0.614746469,-0.507494263,-1.122240732,TRUE,0,2
28-04-00,1032941,Sector6,TRUE,33415.50509,-0.362790223,-2.798561143,-15,-4.975174229,0.907552167,-2.222057874,0.650229117,-1.571828758,FALSE,3,0
31-05-00,1032941,Sector7,TRUE,21292.68654,0.520555779,-0.345719239,-15,-0.339310151,-3.263491738,1.305915388,0.947079253,2.252994641,TRUE,4,0
30-06-00,1032941,Sector1,TRUE,32376.71758,0.097977148,-5.028238205,15,-6.622355198,0.464945462,0.223990746,-0.854888207,-0.630897461,FALSE,4,0
31-07-00,1032941,Sector10,TRUE,35548.89604,-0.156323721,-0.601739177,15,-2.613079733,1.260671221,-0.144484669,-0.457783234,-0.602267903,FALSE,3,4
31-08-00,1032941,Sector8,TRUE,29991.76033,-0.198874993,0.995183697,6.413063698,0.039184041,-0.899178571,-0.492978925,0.24291254,-0.250066385,TRUE,1,4
29-09-00,1032941,Sector2,FALSE,24027.14921,0.096519505,1.573767118,7.070140368,-1.206570025,-0.436820266,0.237329839,2.676432113,2.913761952,TRUE,3,0
31-10-00,1032941,Sector1,TRUE,26346.23777,0.129086067,-1.303358927,15,-1.972192709,-0.253230613,0.033511631,-1.101624171,-1.068112541,FALSE,2,2
30-11-00,1032941,Sector6,TRUE,29747.16997,-0.381122735,-1.0207267,-15,1.479355569,0.020229054,0.369134502,-0.570185349,-0.201050847,FALSE,0,4
29-12-00,1032941,Sector4,TRUE,18409.8472,-0.427987083,-0.732065492,15,0.187977318,-1.471822683,-1.598439356,-0.223314018,-1.821753374,FALSE,1,3
31-01-01,1032941,Sector4,TRUE,10530.6704,0.199353953,1.616430775,-15,1.521039,0.181218785,0.335688078,1.443930172,1.77961825,TRUE,1,3
28-02-01,1032941,Sector9,TRUE,12630.00118,-0.083918882,-0.20909506,9.878288371,1.930958161,0.403027256,-1.24006961,-1.113024307,-2.353093917,FALSE,3,1
